question	answer
"Вопрос 8: На российских монетах можно увидеть двуглавого орла, на гватемальских —
птицу кетсаль, на австралийских — кенгуру. А одна из российских
инвестиционных компаний преподнесла своим клиентам сувенирные монетки,
которые, как шутят в этой компании, будут помогать клиентам принимать
решения. Кто изображен на аверсе и кто — на реверсе этих монеток?        "	Ответ: Бык и медведь.    
"Вопрос 9: О том, что в начале 1920-х годов советское акционерное общество
""Транспорт"" обращалось к одной из британских фирм с предложением о
создании совместного предприятия, знают немногие. Как, впрочем, и о том,
что заинтересованные предложением представители фирмы вскоре прибыли в
Москву. А вот о визите в СССР другого крупного бизнесмена,
организованном, кстати, все той же фирмой, наверняка помнят все.
Назовите имя и фамилию дамы — инициатора этого визита.        "	Ответ: Сюзи Твистер.    
"Вопрос 1: Многие великие правители и государственные деятели занимались созданием
союзов. А вот Юлий Цезарь известен, помимо прочего, как создатель одного
бессоюзия. Какого?        "	"Ответ: ""Пришел, увидел, победил"".    "
"Вопрос 2: Изначально ОН был ""крикуном"" и ""мятежником"", однако свободолюбивые
проявления ЕГО натуры пришлось завуалировать. Для этого пригодилась
книга ""История современной философии от Ренессанса до Канта"", а также
сведения об одном учебном заведении, полученные от друзей. Назовите и
ЕГО и это учебное заведение.        "	Ответ: Ленский, Геттингенский университет.    
"Вопрос 3: Порой ОН открывает окно и смотрит на парижские бульвары, заметил Генрих
Гейне. К нему приходят не экскурсии с гидом, добавил Владимир Набоков, а
одинокие путешественники. А художница Ханни Роско считает, что ЕМУ не
хватило еще одного дня. Назовите ЕГО.        "	Ответ: Бог.    
"Вопрос 4: В одной из своих ""новых русских сказок"" Дмитрий Быков обыгрывает
известный сюжет. Герой, ничего не помнящий о том, что с ним произошло
накануне, решил прогуляться по Москве. Постоял, например, у памятника
Петру I, который ему даже понравился — и чего все катят бочку на этого
Церетели, вполне приличный монумент! Напишите первые два слова в
названии этой сказки.        "	Ответ: Ирония судьбы.    
"Вопрос 5: Повар Английского собрания Федосеич говорил, что это только военным в
поход брать хорошо, а для барского стола нужно поработать. Назовите то,
о чем говорил повар, известным определением из трех слов, и не забудьте
правильно написать название города.        "	Ответ: Страсбурга пирог нетленный.    
"Вопрос 6: ЭТО не только место отдыха, но и то, чем можно на отдыхе заняться. Из
ЭТОГО можно получить другое ""слово"", которое, благодаря одной
высокопоставленной особе, поставило своеобразный антирекорд. Напишите
оба упоминаемых в вопросе слова.        "	Ответ: Сочи, исчо.    
"Вопрос 7: Канцлер Германии Хельмут Шмидт сравнивал рынки с НИМИ, доказывая, что
должным образом функционирующие рынки должны быть открытыми. В учебниках
русского языка ОН часто соседствует с тем, что каждый из вас сейчас,
скорее всего, может увидеть. Назовите ЕГО.        "	Ответ: Парашют.    
"Вопрос 9: Когда-то в Мышкине ОНА была, но указ Екатерины II ЕЕ убрал. ОНА была
возвращена Мышкину при советской власти, но местные жители боролись
против НЕЕ — вычеркивали из документов, соскабливали с указателей... В
результате в 1991 году в Мышкине ЕЕ снова не стало. Назовите ЕЕ.        "	"Ответ: Буква ""О"" в названии.    "
"Вопрос 1: Древние греки приписывали Паламеду изобретение чисел, мер веса и длины,
игры в кости, трехступенчатого деления войска и т.д. Высказывание
Страбона о Паламеде фактически повторяет высказывание одного
фантастического существа о себе, только Страбон говорил в прошедшем
времени. Назовите фантастическое существо.        "	Ответ: Птица Говорун.    
"Вопрос 2: Древние китайцы считали, что башэ через три года выплевывает кости своих
жертв. Назовите создателя двух наиболее известных изображений башэ и его
жертвы.        "	Ответ: Антуан де Сент-Экзюпери.    
"Вопрос 6: По словам историка Соловьева, этот граф, во-первых, был самым настоящим
атеистом, во-вторых, в душе, без всякого сомнения, был либералом, и,
в-третьих, за всю жизнь ни одной русской книги не прочел, а писал только
по-французски или по-немецки. Назовите его фамилию.        "	Ответ: [Сергей Семенович] Уваров.    
"Вопрос 7: В 1910 году самая продвинутая модель ЭТОГО комплектовалась, в числе
прочего, двумя деталями: одна непортящаяся — ""Сапфир"", другая медная —
""Тюльпан"". Назовите ЭТО.        "	Ответ: Граммофон. Незачет: Патефон.    
"Вопрос 8: В XV веке в Европе ЕЕ применение было обязательным для сборщиков денег,
которые — дабы избежать искушения — всегда ходили парами. В наше время
для многих ОНА подразумевает обман. Назовите ЕЕ двумя словами.        "	Ответ: Двойная бухгалтерия.    
"Вопрос 9: Кукла, прототипом которой послужила Нэнси Пирл, держит у губ
указательный палец. А коллега Нэнси Пирл, сотрудница одного из киевских
учебных заведений, с грустью замечает: ""... если сдадут — то сдадут, а
если не сдадут — то не сдадут"". Назовите общую профессию Нэнси Пирл и
этой сотрудницы.        "	Ответ: Библиотекарь.    
"Вопрос 10: СДЕЛАТЬ ЭТО вынуждены были многие жители Афганистана, когда в стране в
очередной раз переменилась власть. Если бы ЭТО СДЕЛАЛ Руслан, то,
вероятно, погиб бы. Ответьте двумя словами: сделал что?        "	Ответ: Отпустил бороду.    
"Вопрос 1: Писатель Янн Мартел описывает глубокую и мрачную пасть тигра. В описании
тигриных зубов он употребляет два слова, отличающихся на две буквы.
Назовите эти слова.        "	Ответ: Сталактиты, сталагмиты.    
"Вопрос 2: В повести Эмиля Золя ""Проступок аббата Муре"" герой, прежде чем пуститься
во все тяжкие, ждет, пока исчезнет ОНА. Толкиен сравнил с ней холм,
окруженный лесом. Назовите ЕЕ.        "	Ответ: Тонзура.    
Вопрос 3: Внимание, две цитаты.	"    Вторая цитата: ""ПРОПУСК между тем продолжали стоять на одном колене
перед штандартами, со щитами на плече; копья их торчали вперед и вверх,
так что вся шеренга выглядела ощетинившейся и неприступной"" [конец
цитаты]."
"Вопрос 4: В биографии Огюста Ренуара говорится, что он был чрезвычайно недоволен
зданием парижской Оперы и в связи с этим сожалел о некоторой неточности.
Ответьте, какое немецкое имя упоминается в книге далее?        "	Ответ: Берта.    
"Вопрос 6: И в 2008, и в 2005 году молодежная сборная Испании показала один и тот
же неутешительный для себя результат. Правда, в 2008 году она потратила
в два раза больше времени. Какой сборной она проиграла 8 июля 2005 года?        "	Ответ: Сербии и Черногории.    
"Вопрос 7: Герой сказки СДЕЛАЛ ЭТО в надежде обрести личное счастье. После того как
в 1944 году снова СДЕЛАЛИ ЭТО, жители Москвы и Ленинграда поверили:
победа будет за нами. Какие два слова были заменены словами ""СДЕЛАТЬ
ЭТО""?        "	Ответ: Пустить стрелу.    
"Вопрос 8: По мнению Елены Мельниковой-Григорьевой, ОНИ являются аллегорией Крона,
пожирающего своих детей, то есть пропускающего через глотку самого себя.
Назовите ИХ двумя словами.        "	Ответ: Песочные часы.    
"Вопрос 9: Ларс фон Триер утверждает, что взять псевдоним его побудила любовь к
определенному жанру искусства, в котором нередки случаи своеобразного
высокомерия. В качестве примера фон Триер назвал Каунта Бейси и еще
одного человека. Назовите его.        "	Ответ: Дюк Эллингтон.    
"Вопрос 10: В компьютерной игре ""Мир Дозоров"" ОНА предохраняет от огня, холода и
энергетического воздействия. В романе ""Преступление и наказание"" ОНА
исходит из уст матери Раскольникова и его сестры — и всё из-за ссоры
Родиона с женихом сестры. В другом произведении ОНА так и не была
разыграна. Назовите ЕЕ двумя словами.        "	Ответ: Защита Лужина.    
"Вопрос 2: Забив свой дебютный гол за ""Барселону"", АлЕксис Санчес довольно
стандартно его отпраздновал, восхитив комментатора НТВ, предположившего,
что Санчесу нужно выступать с ИКСОМ. У знаменитого человека,
выступавшего с ИКСОМ, февраль 1993 года был особенно трудным из-за
большого количества перелетов. Назовите этого человека.        "	Ответ: Сергей Бубка.    
"Вопрос 3: Герой современного рассказа, обычный житель империи инков, стоя в толпе,
наблюдает за процессией, в ходе которой слуги проносят в золотом
паланкине верховного Инку АтауАльпу. Герой произносит в адрес стоящего
перед ним человека фразу, которую однажды произнес... Кто?        "	Ответ: Диоген.    
"Вопрос 4: Пишут, что когда брат Висенте дал АтауАльпе этот предмет, названный
фундаментом европейской цивилизации, то во взгляде инки читалось
удивление, он ведь никогда ничего подобного не видел. Желая открыть
предмет, Атауальпа пытался проковырять в нем отверстие. Назовите этот
предмет по-гречески.        "	Ответ: Библия.    
"Вопрос 5: Горький назвал ""микробьим"" ИКС Леонида Леонова, хотя, возможно, логичнее
было бы упомянуть Булгакова или Чехова. Напишите ИКС.        "	Ответ: Почерк.    
"Вопрос 6: В современном романе Алекса Гарленда итальянский работник на досуге
демонстрировал удивительные трюки и суперпрыжки. Какое имя автор
упомянул, рассказывая об этом?        "	Ответ: Марио.    
"Вопрос 7: В одном хокку фигурирует ИКС соевого соуса на белом рисе. Напишите слово
иностранного происхождения, которое мы заменили ИКСОМ.        "	Ответ: Иероглиф.    
"Вопрос 9: Александр ЛаЭртский, рассуждая о советских очередях, порадовался, что
традиционно самая большая очередь собиралась не за каким-либо продуктом
питания. Впрочем, это утверждение верно, только если не верить известной
теории. Руководствуясь этой теорией, острословы заменили в известном
стишке слово, рифмовавшееся с автомобилем, на репортерскую фамилию.
Напишите эту фамилию.        "	Ответ: Боровик.    
"Вопрос 10: В романе Максима Чертанова при описании рыжеватых волос Ленина, вставших
дыбом вокруг лысины, упоминается ИКС. Восьмиконечный ИКС Софии
символизирует вечность мудрости. Назовите ИКС.        "	Ответ: Нимб.    
"Вопрос 1: Во время переговоров перед стартом Королев сказал Гагарину, что после
ЭТОГО пройдет примерно шесть минут. Назовите ЭТО.        "	Ответ: Минутная готовность.    
"Вопрос 1: Вариант, где используются ножницы, называется словом из восьми букв,
четыре из которых — ""кири"". Напишите остальные четыре.        "	Ответ: Гами.    
"Вопрос 2: ""Я героиня самоубийства и героина"". Процитированный ОН авторства Андрея
Вознесенского называется тремя словами, начинающимися на одну букву.
Напишите это название.        "	"Ответ: ""Монолог Мерлин Монро"".    "
"Вопрос 3: Можно сказать, что пьесу ""Старая зайчиха"" драматург Николай Коляда
написал ЧИСТО ФОРМАЛЬНО, после чего пьесу поставил театр ""Современник"".
Какие слова мы заменили словами ""ЧИСТО ФОРМАЛЬНО""?        "	Ответ: Для галочки.    
